county,office,district,party,candidate,votes
Florence,President,,NP,Cherunda Lynn Fox,0
Fond Du Lac,President,,DEM,Kamala D. Harris,20495
Fond Du Lac,President,,REP,Donald J. Trump,37272
Fond Du Lac,President,,CON,Randall Terry,76
Fond Du Lac,President,,LIB,Chase Russell Oliver,148
Fond Du Lac,President,,WGR,Jill Stein,125
Fond Du Lac,President,,NP,Claudia De la Cruz,19
Fond Du Lac,President,,NP,Cornel West,24
Fond Du Lac,President,,NP,Robert F. Kennedy Jr.,279
Fond Du Lac,President,,NP,Peter Sonski,10
Fond Du Lac,President,,NP,Cherunda Lynn Fox,0
Forest,President,,DEM,Kamala D. Harris,1681
Forest,President,,REP,Donald J. Trump,3382
Forest,President,,CON,Randall Terry,1
Forest,President,,LIB,Chase Russell Oliver,12
Forest,President,,WGR,Jill Stein,7
Forest,President,,NP,Claudia De la Cruz,0
Forest,President,,NP,Cornel West,0
Forest,President,,NP,Robert F. Kennedy Jr.,12
Forest,President,,NP,Peter Sonski,0
Forest,President,,NP,Cherunda Lynn Fox,0
Grant,President,,DEM,Kamala D. Harris,10966
Grant,President,,REP,Donald J. Trump,15922
Grant,President,,CON,Randall Terry,35
Grant,President,,LIB,Chase Russell Oliver,76
Grant,President,,WGR,Jill Stein,52
Grant,President,,NP,Claudia De la Cruz,9
Grant,President,,NP,Cornel West,7
Grant,President,,NP,Robert F. Kennedy Jr.,187
Grant,President,,NP,Peter Sonski,3
Grant,President,,NP,Cherunda Lynn Fox,0
Green,President,,DEM,Kamala D. Harris,10903
Green,President,,REP,Donald J. Trump,10843
Green,President,,CON,Randall Terry,41
Green,President,,LIB,Chase Russell Oliver,73
Green,President,,WGR,Jill Stein,52
Green,President,,NP,Claudia De la Cruz,5
Green,President,,NP,Cornel West,7
Green,President,,NP,Robert F. Kennedy Jr.,102
Green,President,,NP,Peter Sonski,0
Green,President,,NP,Cherunda Lynn Fox,0
Green Lake,President,,DEM,Kamala D. Harris,3449
Green Lake,President,,REP,Donald J. Trump,7458
Green Lake,President,,CON,Randall Terry,19
Green Lake,President,,LIB,Chase Russell Oliver,38
Green Lake,President,,WGR,Jill Stein,12
Green Lake,President,,NP,Claudia De la Cruz,2
Green Lake,President,,NP,Cornel West,2
Green Lake,President,,NP,Robert F. Kennedy Jr.,53
Green Lake,President,,NP,Peter Sonski,2
Green Lake,President,,NP,Cherunda Lynn Fox,0
Iowa,President,,DEM,Kamala D. Harris,7750
Iowa,President,,REP,Donald J. Trump,6631
Iowa,President,,CON,Randall Terry,20
Iowa,President,,LIB,Chase Russell Oliver,49
Iowa,President,,WGR,Jill Stein,64
Iowa,President,,NP,Claudia De la Cruz,6
Iowa,President,,NP,Cornel West,11
Iowa,President,,NP,Robert F. Kennedy Jr.,116
Iowa,President,,NP,Peter Sonski,3
Iowa,President,,NP,Cherunda Lynn Fox,0
Iron,President,,DEM,Kamala D. Harris,1487
Iron,President,,REP,Donald J. Trump,2557
Iron,President,,CON,Randall Terry,3
Iron,President,,LIB,Chase Russell Oliver,2
Iron,President,,WGR,Jill Stein,10
Iron,President,,NP,Claudia De la Cruz,1
Iron,President,,NP,Cornel West,2
Iron,President,,NP,Robert F. Kennedy Jr.,17
Iron,President,,NP,Peter Sonski,0
Iron,President,,NP,Cherunda Lynn Fox,0
Jackson,President,,DEM,Kamala D. Harris,4157
Jackson,President,,REP,Donald J. Trump,6204
Jackson,President,,CON,Randall Terry,20
Jackson,President,,LIB,Chase Russell Oliver,21
